Integration Practice Problems,Answer,Hint
 (x^2 - 2x + 1)/(x - 1) dx,(1/3)x^3 - 3x^2 + 8x - 8ln,x - 1
 (2 + e^x)/(e^x - 1) dx,x + 2ln,e^x - 1
 (1 + cos(x))/(sin(x) + cos(x)) dx,ln,sin(x) + cos(x)
 (1 - 2sin(x)) dx,x + 2cos(x) + C,Integrate each term separately.
 (2x^3 - x^2 + 3x - 1) e^x dx,(2x^3 - 6x^2 + 9x - 13)e^x + C,Use integration by parts.
 (e^x + e^(-x))/(e^x - e^(-x)) dx,ln,e^x - e^(-x)
 (sin(x) - cos(x)) dx,-cos(x) - sin(x) + C,Integrate each term separately.
 (3x^2 - 2x + 5)/(x^3 - x^2 + 1) dx,ln,x^3 - x^2 + 1
 (x^3 + x^2 - x + 1)/(x - 1) dx,(1/4)x^4 + (1/3)x^3 + (1/2)x^2 - x + 4ln,x - 1
 (2e^x - 3/x) dx,2e^x - 3ln,x
 (cos(x)sin(x)) dx,(1/2)sin^2(x) + C,Use the double angle identity.
 (1 + e^(2x))/(1 - e^(2x)) dx,(1/2)x + ln,1 - e^(2x)
 (2x^2 + 3x + 4)/(x^2 + x + 1) dx,(3/2)ln,x^2 + x + 1
 (1 - sin(x))^2 dx,x + sin(x) - (1/2)sin(2x) + C,Expand the square of the binomial.
 (x^3 - 4x^2 + 6x - 4)/(x^2 - 2x + 2) dx,(1/2)x^2 - 2x + 7 + (1/2)ln,x^2 - 2x + 2
 (3x^2 + 4x + 2)/(x^3 + 2x^2 + x) dx,ln,x^3 + 2x^2 + x
 (sin(x) - cos(x)) e^x dx,(1/2)e^x(sin(x) - cos(x)) - (1/2)e^x + C,Use integration by parts.
 (x^3 - 2x^2 + x - 1) e^x dx,(1/2)x^3 - x^2 + 3x - 5 + (1/2)e^x + C,Use integration by parts.
 (cos(x) - sin(x))^2 dx,x - sin(x)cos(x) - cos(x) + C,Expand the square of the binomial.
 (1 + tan(x))^2 dx,x + tan(x) - ln,cos(x)
 (x^3 + 2x^2 + x + 1)/(x^2 + 1) dx,(1/2)x^2 + (3/2)x + arctan(x) + C,Use long division to simplify the integrand.
 (x^2 + 1)/(x^4 + x^2 + 1) dx,(1/2)arctan(x^2 + 1) + C,Rewrite the integrand using trigonometric functions.
 (e^x + e^(-x) + 1) dx,e^x - e^(-x) + x + C,Integrate each term separately.
 (x^2 + 2x + 2)/(x^3 + x^2 + x + 1) dx,ln,x^3 + x^2 + x + 1
 (sin(x) + cos(x))^2 dx,x + sin(x)cos(x) + C,Expand the square of the binomial.
 (1 + cos(x))/(sin(x) - cos(x)) dx,ln,sin(x) - cos(x)
 (3e^(2x) + 4/x) dx,(3/2)e^(2x) + 4ln,x
 (x^4 + 1)/(x^2 + 1) dx,(1/2)x^3 + x - arctan(x) + C,Use long division to simplify the integrand.
 (sin(x) + cos(x)) e^x dx,(1/2)e^x(sin(x) + cos(x)) + C,Use integration by parts.
 (x^3 + x^2 - x + 1)/(x^2 - 1) dx,(1/4)x^4 + (1/3)x^3 + (1/2)x^2 - x + 2ln,x - 1
 (1 - 2cos(x)) dx,x - 2sin(x) + C,Integrate each term separately.
 (e^x + 1)/(e^x + e^(-x)) dx,ln,e^x + e^(-x)
 (2x^3 + 3x^2 + 4x + 5)/(x^2 + x + 1) dx,(3/2)ln,x^2 + x + 1
 (1 + e^(-x))/(1 - e^(-x)) dx,x + ln,1 - e^(-x)
 (cos(x) - sin(x)) e^x dx,(1/2)e^x(cos(x) - sin(x)) + C,Use integration by parts.
 (x^3 - 2x^2 + x - 1) e^x dx,(1/2)x^3 - x^2 + 3x - 5 + (1/2)e^x + C,Use integration by parts.
 (sin(x) - cos(x))^2 dx,x - sin(x)cos(x) + cos(x) + C,Expand the square of the binomial.
 (1 + tan(x))^2 dx,x + tan(x) - ln,cos(x)
 (x^3 + 2x^2 + x + 1)/(x^2 + 1) dx,(1/2)x^2 + (3/2)x + arctan(x) + C,Use long division to simplify the integrand.
 (x^2 + 1)/(x^4 + x^2 + 1) dx,(1/2)arctan(x^2 + 1) + C,Rewrite the integrand using trigonometric functions.
 (e^x + e^(-x) + 1) dx,e^x - e^(-x) + x + C,Integrate each term separately.
 (x^2 + 2x + 2)/(x^3 + x^2 + x + 1) dx,ln,x^3 + x^2 + x + 1
 (sin(x) + cos(x))^2 dx,x + sin(x)cos(x) + C,Expand the square of the binomial.
 (1 + cos(x))/(sin(x) - cos(x)) dx,ln,sin(x) - cos(x)
 (3e^(2x) + 4/x) dx,(3/2)e^(2x) + 4ln,x
 (x^4 + 1)/(x^2 + 1) dx,(1/2)x^3 + x - arctan(x) + C,Use long division to simplify the integrand.
